餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
鮨二七,2017年/12月,高雄,高雄市苓雅區永明街27號,,07 211 9262,每人平均價位：4000元,
槿韓食堂太極鍋,2017年/10月,高雄,高雄市三民區河北一路300號,"11：30～15：00 , 17：30～22：00", 07 236 2202,,
阿生羊肉,2018年/01月,高雄,高雄市大寮區鳳林三路203號,4:30PM–11:30PM(不定休),07-783-4122,,
UKAI-TEI Kaohsiung鐵板燒@晶英國際行館Silks Club,2018年/1月,高雄,高雄市前鎮區中山二路199號2&3F,12:00~15:00；17:30~22:00,07-973-0122,,
幸花拉麵九州鷄白湯專門店,2017年/12月,高雄,高雄市新興區青年一路200號,日-四：1800-0200 五-六：1800-0300,07 215-0486,,
Zoe Cafe & Pizza Pasta,2018年02月,高雄,店家地址：高雄市新興區民享街89號,11：30～22：00（週二公休）,店家電話：07 261 7310,,
Alien House,2018/1,高雄,高雄市苓雅區同慶路58-1號,11:00-18:30 (週二公休),0930619805,,
Tamoya 太盛16 烏龍麵,2017年09月,高雄,店家地址：高雄市新興區五福二路262號1樓（大統五福店）,11：00～21：00,店家電話：07 216 0500,,
九記食糖水,106年11月,高雄, 高雄市前鎮區復興三路5號(集盒內),,無,,
Café De Timing 滴。時刻 手作 咖啡廚房,2017年11月,高雄,店家地址：高雄市前金區育才街4號,10：00～21：00,店家電話：07 285 8504,,
想要飲茶want to drink,2017年/10月,高雄,高雄市鼓山區南屏路541號,11:00-22:00,07 553-5366,,
Pizza Rock,2017年/11月,高雄,高雄市左營區富民路327號,11:30–21:30,07 550 9558,,
麵家二眷,2018年/01月,高雄,高雄市鼓山區大順一路923號,17:00~23:30,0927074137,,
馬多尼 . 草衙道,2017年/11月,高雄,高雄市前鎮區中安路1之1號,11:00-22:00,07 796 9699,,
二聖麵館,2018年/3月,高雄,高雄市前鎮區二聖二路73號,11:20~21:00(周日休),07-3321493,,
楓茶記楠梓翠屏店,2017年10月,高雄,高雄市楠梓區翠屏路49號,10:00-22:00,07-3645691,,
瑪莉桃桃親子生活餐廳,2018年/04月,高雄,高雄市三民區明仁路51號2F,11:00-21:00,07-3506857,,
京桃山 活鰻 懷石日本料理,2017年10月,高雄,店家地址：高雄市前金區五福三路57號9樓（大立精品館9F）,11：00～15：00 / 17：00～22：00,店家電話：07 241 8878,,
山美 Summit Takao,2018年03月,高雄,店家地址：高雄市鹽埕區大成街73號,12：00～20：00（週三公休）,店家電話：07 521 6476,,
提杯客Tea bag,2017年/11月,高雄,高雄瑞豐夜市第二排100號,夜市開放時間為主,0909 665 655,,
旗后活海產：,2018年/01月,高雄,高雄市旗津區廟前路31號,11:30~21:30,(07)5715460,,
哇牛漢堡食研所,2017年/10月,高雄,高雄楠梓區德賢路176號,"0930-14:00 , 17:30-21:30",07 3630075,,
Mr.Leo Brunch,2017年/9月,高雄,高雄市三民區大豐一路289號,10:00~20:00,07-3859888,,
三星園抹茶 上林茶屋,2018年2月18日,高雄,高雄市左營區明誠二路182號,每天 10:30~22:30,(07) 550-9899,,
華王大飯店波麗露西餐廳,2017年/12月,高雄,高雄市鹽埕區五福四路42號,"11:00-14:00, 17:30-21:30",07-551-1515,,
小奶奶現烤甜甜圈,2017年/10月,高雄, 高雄市苓雅區正義路94號,15:00-21:30,0900 159997,,
TST麵包坊,2018年1月,高雄,高雄市苓雅區廣東一街115號,9:00 - 20:00,07- 723-0770,,
錦華春炒馬二號店(復興店),2018年/2月,高雄,高雄市苓雅區復興二路68號,11:00~15:00。17:00~20:30,07-5365608,,
劉震川日韓大食館-高雄大立精品店,2017年11月19日,高雄,高雄市前金區五福三路57號8樓,每天 11:00~22:00,(07) 211-1961,,
寶樂食堂,2017/11,高雄,高雄市鼓山區濱海一路60號,11:00-14:00  17:00-21:0.0 (週二公休),07-5311780,,
陳莉莉印尼美食館,2017/12,高雄,高雄市鹽埕區五福四路276號,10:00-21:00 (週一公休),07-5213138,,
天一坊,2017年/09月,高雄, 高雄市新興區文化路34號,"11：00～14：30 ,7：30～21：30 (休一)",07 215 6690,,
蛋吉蕾,2017年/10月,高雄,高雄市苓雅區林泉街10號,,07 715 3021,每人平均價位：$110-170,
甜薏点,2017年/9月,高雄,高雄市左營區明華一路8號,13:00 - 21:00,07 550-7988,,
Mona cafe 寵物咖啡館,2018年/1月,高雄,高雄市苓雅區河南路288號, 周二至周日11:30~21:00 (周一公休),(07) 223-7745,,
小小冰創意手作綿綿冰,106年10月,高雄,高雄市鳳山區新康街257號,周一~周日，12:00 - 晚上大約八九(提早賣完會提早結束),07-7669898,,
愛食鍋-麻辣鴛鴦鍋,2018年/3月,高雄,高雄市左營區裕誠路297號(捷運巨蛋站步行5-7分鐘可及),11:30-14:30 及 17:30-1:00,07-5585811,,
咕咕義,106年/11月,高雄,高雄市小港區平和七路九號,午餐11:00-14:00 晚餐17:00-20:00,07-8225702,,
拿督肉骨茶,2018年/02月,高雄,高雄市苓雅區光華二路372號,17:00–23:00,(07)713-2588,,
卡啡那 Cafina Coffee Gallery(明誠店),2017年/12月,高雄,高雄市左營區明誠二路243號,09:00-00:00,07-5562661,,
Cafe' Fiona 費奧納咖啡館,兩訪皆在2017年12月,高雄,店家地址：高雄市前鎮區光華三路229號,平日：10：00～21：00 / 假日：9：00～21：00,店家電話：07 537 4418,,
光華 延陵 溫州餛飩,2017年12月,高雄,店家地址：高雄市前鎮區光華二路441號,16：30～24：00,店家電話：07 3347543,,
有野餐Picnic to go,2017年/11月,高雄,高雄鳳山區光遠路279巷3號,9:00-21:00(週一至16:00),07-7198685,,
根津食堂,2017年12月底,高雄,高雄市左營區明華一路160號,11:00-14:00 / 17:00-21:30,07-5561972,,
戴蛋餅,2017/11,高雄,高雄市鹽埕區河西路100號,15:00-23:00(週三公休),07-5312568,,
老新台菜十全店,2017年/12月,高雄,高雄市三民區十全三路265號," 11:30–14:00, 17:30–22:00",(07)311-8099,,
小器補行動餐車，麻油雞(建元公園),2017年/9月,高雄,高雄市三民區建元路(建元公園外，萊爾富對面),21:30~賣完,0901-171-575,,
老店柏弘肉燥/魚湯,2017年/12月,高雄,高雄市苓雅區青年一路167-2號,17:00-02:00,07)332-2516,,
奧爾司咖啡 Ours Cafe,初訪為2017年8月，最後一訪為2017年12月,高雄,店家地址：高雄市新興區中東街62號,10：00～18：00（週一店休）,店家電話：07 223 7213,,
左營汾陽餛飩,2017年4月,高雄,高雄市左營區左營大路86號,0600-0000,(07)585-1858,,
UKAI-TEI Kaohsiung牛排館@晶英國際行館Silks Club,2017年/10月,高雄,高雄市前鎮區中山二路199號2&3F,12:00~15:00；17:30~22:00,07-973-0122,,
I'm Kimchi 我是泡菜,2017年/12月,高雄, 813高雄市左營區南屏路297號,, 07 522 9116,,
巴黎波波,2017年/09月,高雄,高雄市三民區綏遠一街167巷42號(捷運後驛站2號出口後方廣場內),,,,
星樂加 The Plus Star,2017年3月25日,高雄,高雄市三民區博愛一路329號,每天 早上10:00~隔日凌晨02:00,(07) 323-7788,,
瑯萊了羊肉爐吃到飽,2017年/12月,高雄,高雄市鳳山區青年路二段255號,"11:00-15:00 , 17:00-22:00",(07)780-8199,,
饌記紅燒牛肉麵,107年2月,高雄,高雄市大寮區鳳林四路66號,, (07)782-8635,每人平均價位：100元,
My Cofi,2018/1,高雄,高雄市苓雅區廈門街19號,週一至週日 08:30-18:00(週四公休),07 222 0101,,
Bitch小姐,2017/11,高雄,高雄市左營區新上街307巷9號,18:00-03:00 (週四公休),0936-771960,,
Manniu 慢牛 創意牛肉料理,2017年9月,高雄,高雄市左營區至真路２５２號,１１：３０－１４：３０、１７：００－２０：３０,０７－３４６１８９９,,
好Der 手工窯烤披薩,2017年/12月,高雄,高雄市鹽埕區新樂街255號,11:00-21：00,075337766,,
麻蜀麻辣鍋,2018年/02月,高雄,高雄市三民區博愛一路64號,"11:30 - 14:00 ,17:00 - 0:00",07-316-2786,,
赤炭汽油桶燒肉,2018年2月,高雄,高雄市左營區富民路436號,,07 550 7677,,
Kaku,2017/11月,高雄,高雄市左營區保靖街58號2樓,17:00 - 21:00 (一到五),07-556-7488,,
一品堂 (拉麵、蓋飯),2017年10月,高雄,高雄市楠梓區土庫二路182號,,07-3537273,,
風車驛站,2017年/12月,高雄,高雄市旗津區中洲二路289-1號,週一至週五 12:00-14:00、17:00-21:30,(07)5715993,,
Woosaパンケーキ 屋莎鬆餅屋,2017/11,高雄,高雄市前鎮區中華五路789號3樓 (統一時代百貨),11:00-22:00,07-8213465,,
多一點咖啡館 高雄文化館,2018年1月6日,高雄,高雄市苓雅區同慶路138號,每天 9:00~17:00,(07) 223-8389,,
广天廚麻辣燙/亞奇紅豆餅/甘草芭樂,2017/02月,高雄,高雄鳳山青年夜市/高雄市鳳山區博愛路與瑞興路,18:00-1:00,,每人平均價位：50-250,
老莊豆漿店,2017年/12月,高雄,高雄市苓雅區四維二路187號,06:00-11:00 or 完售,07-715-3881,,
上善若水goodness-bistro,2017年/12月,高雄,高雄市苓雅區福建街221號,晚間8點,07 536 8150,,
German Soul 德意所,2018年2月18日,高雄,高雄市左營區南屏路293巷18號,星期一、四 17:30~22:00；星期五~日 12:00~14:00、17:30~22:00,(07) 586-7897,,
耶濃豆漿,2018年/01月,高雄,高雄市左營區忠貞街1號,08:00-19:30,(07)556-5071,,
昭和酒場,2017年/10月,高雄,高雄市左營區富民路213號,週二-週日:18:00 - 1:00,07-556-5020,,
厚得福湯包麵食專賣店,106年12月,高雄,高雄市苓雅區自強三路156號,, 07 269 2912,每人平均價位：100~200元,
Coolerland一冰香,2017年/10月,高雄,高雄市新興區玉竹一街17巷27號1樓,,不太知道,,
阿蘭麵店,2016年/12月,高雄,高雄鳳山中正路109號,10:00–19:30(週三公休),07-7473687,,
 國賓大飯店 川菜廳,2017年/9月,高雄,高雄市前金區民生二路202號,午11:30-14:00 晚17:30-21:00,07-2115211,,
株式串社,2017年9月,高雄,高雄市前鎮區林森三路１９３巷２號,１７：３０－０１：００,０９６５１４０９３８,,
老闆不在麻辣火鍋,2017年/12月,高雄,高雄市鳳山區光華東路181號,17:00-22:00,07 719 8242,,
小冬家,2017/11月,高雄,高雄市苓雅區光明街100巷1號,11:00 - 20:00 (不定期店休 請上官方FB查詢),07-221-1006,,
翠園粵菜餐廳,2017年/9月,高雄,高雄市左營區博愛二路777號9F,平日午餐 – 11:30 ~ 14:30,07-555-9168,,
抹森甜室 La Maison du Midori,2018/10,高雄,高雄市楠梓區土庫二路52號,週三~週五 13:00-19:00 週六~週日12:00-19:00 (週一二公休),07-3535649,,
金牛精肉商行,2018年07月,高雄,店家地址：高雄市苓雅區仁德街53號,10：00～20：00,店家電話：07 335 5663,,
苷舍,2018/11,高雄,高雄市三民區九如一路230巷18號1樓,每月開放日依粉絲團公布為主,無,,
孟記早餐,2018年/9月,高雄,高雄市左營區果峰街1巷3號,0500~1130,0931800314,,
正北方麵食館,2018年/12月,高雄,高雄市苓雅區復興二路74號,11:00~14:00。17:00~21:00,07-5376787,,
三星園抹茶 文山茶屋,2018年7月7日,高雄,高雄市鳳山區青年路二段584號,每天 10:30~22:30,(07) 777-6987,,
菜包李小吃部,2018年/11月,高雄,高雄市前金區河南二路137號,"11:30-14:30, 17:30-21:30",07-2415778,,
好運吐司,2018年/6月,高雄,高雄市前金區自強三路802號,17:00~01:00,07-2155129,,
SHOJO高雄形象概念店,2018年/08月,高雄,高雄市苓雅區同慶路31號,星期一~星期日17:30~23:30星期六、日11:30~15:00,07 -722-8814,,
Ukai-Tei鐵板燒,2018/12,高雄,高雄市前鎮區中山二路199號,每日12:00-15:00. 18:00-22:00,07-9730122,,
澎味小卷麵線,2018年/9月,高雄,高雄捷運鹽埕埔站3號出口,,,,
芙悅軒 湘粵料理 Flavors Cantonese Cuisine & Tea House,2018年09月,高雄,店家地址：高雄市苓雅區五福一路105號 麗尊酒店3F,11：30～14：00 / 17：30～21：00,店家電話：07 229 6030 # 3531,,
武飯糰,2018/9,高雄,高雄市苓雅區武廟路53號,10:30-18:30 (週日公休),0966-397257,,
蒸鮮味食堂,2018年/12月,高雄,高雄市岡山區公園西路二段74號,"11:00–14:00, 17:00–21:00",07 625 2992,,
MLD台鋁 海鮮大排檔,2018年04月,高雄,店家地址：高雄市前鎮區忠勤路8號,11：30～14：00 / 17：00～22：00（週一～週四）,店家電話：07 536 2999,,
MATTONI Deli Cafe 馬多尼生活餐坊,2018年04月,高雄,店家地址：高雄市鼓山區美術東六街246號,9：00～22：00,店家電話：07 522 6066,,
壽司郎 夢時代店,2018年10月09號,高雄,店家地址：高雄市前鎮區中華五路789號（夢時代藍鯨館6F）,11：30～21：30（最後點餐 21：00）10/9～10/21 試營運期間,店家電話：暫無,,
BITCJ小姐,2018年8月,高雄,高雄市鼓山區臨海一路20-6號,星期一～星期五 晚上18:00—23:30,07-531-5100,,
大酷呆滷味,2018/09,高雄, 807高雄市三民區大豐二路266-12號,17:00~03:00,,每人平均價位：40~100,
黑浮咖啡 巨蛋店,2018/10,高雄, 804高雄市鼓山區文忠路2號,09:00~21:30,07 552 5885,,
李氏朝鮮館,2018年/8月,高雄,高雄市前金區青年二路32號,1:30 - 14:00 、 17:30 - 22:00,07-2156456,,
TED KING GARAGE CAFE,2018年08月,高雄,店家地址：高雄市三民區建國一路472號,11：30～21：30（週日週一公休）,店家電話：07 222 3123,,
萬丹紅豆餅,2018年11月,高雄,高雄市苓雅區苓雅二路169號 (自強夜市內),15:30~21:00,0915-725-666,,
九鼎蒸霸,2018年/09月,高雄,高雄市鳳山區文衡路596號,"11:30–14:30, 17:30–22:00", 07 767 6919,,
WOO TAIWAN高雄旗艦店,2018年/7月,高雄,高雄市鼓山區青海路298號,11:00~22:00,（07）559-7998,,
鴻賓牛排館,2018年/10月,高雄,高雄前金區中華三路23-4號,11:30 - 14:00/17:30-22:00,072718756,,
鴨肉本-二老闆的店,106年/12月/31日,高雄,高雄市鹽埕區富野路107號,10:00-20:30,07-531-4630,,
Luna河內越光 高雄店,2018年10月,高雄,高雄市楠梓區大學東路90號,星期一 休息,0982 791 165,,
老店柏弘肉燥,2018年7月,高雄, 高雄市苓雅區青年一路167-2號,17:00 - 2:00,07-332-2516,,
老賈小館,2018年7月,高雄,高雄市鳳山區文化路149號,11:00~14:00; 17:00~21:00(假日晚上定位只有17:00或是19:00),07-7991915,,
ET鹽水雞-高雄建工店,2018年/08月,高雄, 高雄市三民區建工路820號,一至日: 17:30-01:30,0927-095-578,,
五方傳人,2018年/10月,高雄,高雄市楠梓區朝新路187-1號,,07-3536889,,
大韓民國,2018/10,高雄,高雄市前鎮區林森三路193巷7號,11:30~14:00  17:00~20:30(每週二公休),07-3387671,,
神座拉麵,2018/12,高雄, 807高雄市三民區建工路377號,11:00~21:00,0929 016 134,,
鼎興湯包,2018/08,高雄,807高雄市三民區鼎山街551號, 11:00~20:30, 07 392 5450,,
小義樓,2018年8月,高雄,高雄市新興區新田路78號,17:30-00:30,07-2814057,,
茶六燒肉,2018年/09月,高雄,高雄市左營區博愛二路238號(近凹子底站),11:00~02:00,(07)556-6657,,
田中 板前拉麵,2018年07月,高雄,店家地址：高雄市左營區自由二路452號,17：00～1：00,店家電話：07 558 0970,,
秘町無煙炭火燒肉,2018年/12月,高雄,高雄市三民區民族一路469號,"11:30–14:30, 17:30–23:00",07 341 5988,,
波市多 posto,2018/07,高雄, 813高雄市左營區至聖路289號1樓,中午11點到晚上9點, 07 550 8993,,
真心豆行 文化店,2018年6月,高雄,高雄市苓雅區林德街3號,10:00–19:00,07 716 0098,,
巧來香港雲吞麵,2018年/10月,高雄,高雄市苓雅區三多一路177號,11:00-14:00、17:00-21:00（週日休）,0916-056829,,
支支紅冷鍋串串,2018年/08月,高雄,高雄市前鎮區中華五路B1（夢時代地下美食街）,10:30（六日）、11:00-22:00、22:30（五六）,0960-720865,,
小義樓kitchen,2018年/6月,高雄,高雄市新興區新田路78號,17:30~00:00,07-2814057,,
港港好,2018年/7月,高雄,高雄市文忠路50號,,07-550-0096,,
有点氷かき氷専門店,2018年/08月,高雄,高雄市苓雅區苓雅一路356號,五六日13:00-22:00；一三四14:00-21:00；二休,07-3355022,,
穩記港式點心 瑞源店,2018年11月,高雄,高雄市前金區瑞源路35號,11:00~14:00.17:00~21:00,07 221 9382,,
Pizza Rock 搖滾披薩 高雄文化店,,高雄,高雄市苓雅區廣州一街141號之5,每天 11:30~21:30 (最後點餐 21:00),(07) 723-5252,,
茹絲葵,2018年07月,高雄,店家地址：高雄市前金區中正四路211號25樓之3,11：30～15：00 / 17：30 ～22：30,店家電話：07 241 8888,,
壽司郎高雄夢時代店,2018年/10月,高雄,高雄市前鎮區中華五路789號藍鯨館6F,11:00-21:30,07-8126755,,
鰻魚日記 miamanday,2018年08月,高雄,店家地址：高雄市新興區民權一路249號,11：00～14：30 / 17：00～20：30,店家電話：07 225 2858,,
蔝蓨花苑miss u flower tea house,2018/11,高雄,高雄市苓雅區林森二路17巷35號,12:00-20:00,07-3381139,,
SuSu homemade 蘇蘇食作,2018年07月,高雄,店家地址：高雄市三民區中華二路358號,9：00～18：00（週一到週四）,店家電話：07 323 0032,,
祥鈺樓,2017年/10月,高雄,高雄市苓雅區三多四路85號,"11:00-14:00, 17:00-21:00",07 332 6788,,
熊愛呷魚,2017年/10月,高雄, 高雄市鳳山區光遠路240號,"11:00-13:00 , 15:00-20:00 (休一）",,每人平均價位：$45-70,
漫漫花時間 Take Time,2017-9,高雄,高雄市三民區錦田路171號,10:00-20:30 (週二公休),07-2363500,,
世界宇宙超級無敵脆皮烤雞翅,2017年/12月,高雄,高雄市苓雅區和平一路93號,16:30~完售,0986 817 151,,
素食軒,106年11月,高雄,高雄市鳳山區安寧街64號,06:00~13:30,無,,
宇兵衛 壽司 丼飯專賣店《uhee sushi》,2017年12月,高雄,店家地址：高雄市左營區立大路151號,11：30～14：30 / 18：00～21：30,店家電話：07 341 1778,,
愛開玩笑的人,2017年/11月,高雄,高雄市鳳山區八德路二段13號,8:00 – 15:00(不定期公休),0975 582 868,,
瀧澤軒食堂,2018年/01月,高雄,高雄市林泉街44號,"11:00 - 14:00, 17:00PM - 20:30(休二", 07 713 6268,,
精典泰迪的奶茶舖-高雄左營店,2017/12,高雄,高雄市左營區高鐵路115號,11:00-22:00,07-3469999,,
藍慕輕食咖啡,2017年/11月,高雄,高雄市苓雅區福建街192號,08:00–16:30  星期二 公休,07 536 9736,,
北港三代蔡家筒仔米糕,2018年/3月,高雄,高雄市鹽埕區河西路167號,週一~週日14:30~22:30 週三公休,07-551-7443,,
祝福櫻,2017年/10月,高雄,高雄市左營區裕誠路209號,(07) 556 5486,"11:00–14:00, 17:30–21:00",,
也竹咖哩 武廟店,2018年10月,高雄,高雄市苓雅區武廟路105號,,07-722-5633,每人平均價位：55 UP,
大海拉麵,2017年/10月,高雄,高雄市前鎮區林森三路197號,11:00～14:00、17:30～21:30,07-3386178,,
浪漫鰻屋高雄店,2018年3月24日,高雄,高雄市鼓山區美術東五路59號,星期一~四、日 11:00~14:30、17:00~21:30；,(07) 586-7776,,
上海生煎湯包,營業時間：（週日～週五）11:45-20:00，週六公休   消費時間：2018年/1月,高雄,807高雄市三民區熱河一街208號,,07 322 0702,,生煎湯包、油豆腐細粉湯
南豐魯肉飯,2018 年/ 01 月,高雄,高雄市苓雅區自強三路139號,11:00~22:00,07 331 2289,,
水京棧-京悅軒,2018年/02月,高雄, 高雄市鼓山區明華路366號,"11:30～14:00,17:30～21:00",07 553 7001,,
口天吳,2017年/11月,高雄,高雄市左營區文恩路112號,17:00-21:00,0978-127-109,,
大黑店 OHGURO's Restaurant 大黑の店,2017年11月,高雄,店家地址：高雄市前鎮區復興三路29號,11：00～14：00 / 17：30～20：00（週六週日固定店休）,店家電話：07 333 3356（建議先預約，不然會等很久）,,
霸味薑母鴨,2017年/12月,高雄,高雄市左營區忠言路172號,16:00~0200 4月-7月店休,07-5577796,,
丹丹漢堡(西子灣店),2017/11月,高雄,高雄市鼓山區臨海二路24號,07:00 - 21:00 (禮拜四公休),07-533-0573,,
高雄市前鎮區武營路45號,2017年/11月,高雄, 高雄市前鎮區武營路45號,10:30-00:00,0986 570 079,,
九湯屋,2018/07,高雄,807高雄市三民區大昌二路567號,中午11點開始到晚上9點左右,0972 705 722,,
阿成炒飯專賣店,2018/08,高雄,807高雄市三民區大連街182號, 下午四點到晚上八點吧,07 313 4821,,
快‧慢拍小姐,2018年/10月,高雄,高雄市苓雅區興中一路40號,07:00~13:00。(周二休),0909-616479,,
Eagle 義來藝去 裕誠店,2018年07月,高雄,店家地址：高雄市鼓山區裕誠路1898號,8：30～22：00,店家電話：07 522 9131,,
woosaパンケーキ 屋莎鬆餅屋,2018年/10月,高雄,高雄市苓雅區三多四路21號2樓,11:00–22:00,07 338 3806,,
廟口關東煮鍋燒麵,2018年9月,高雄,高雄市苓雅區光華二路338號,,0900-035-019,每人平均價位：50 up,
台灣第一家鹹酥雞,2018/09,高雄,高雄市三民區義華路424號,下午三點到半夜三點, 0956 031 664,,
歐內醬鐵板料理,2018年/07月,高雄,高雄市苓雅區武廟路135巷,"11:00-14:00 , 17:00-21:00",07-722 5991,,
撒豆サトウ,2018/8,高雄,高雄市三民區同盟三路198號,13:30-21:00,07-3231159,,
暖暖輕食坊,2018年/7月,高雄,高雄市岡山區大德三路82-1號,09:00~21:00,07-6228583,,
莎曉 全台唯一克羅埃西亞料理,2018.8月 平日晚上時段,高雄,高雄市苓雅區河北路17號(技擊館站或五塊厝站步行約10分鐘),,,,
芒果好忙,,高雄,高雄市左營區富民路401號,星期一、二、四~日 12:30~22:00 (星期三公休),(07) 550-8115,,
童樂島親子餐廳,2018年/8月,高雄,高雄市三民區文濱路45號,11:00~21:00,07 780-8777(建議一定要先訂位),,
全海岸活蝦餐廳 高雄華夏店,2018年11月,高雄,店家地址：高雄市左營區華夏路1030號,16：00～1：00（無公休）／11：30～14：00（假日限定）,店家電話：07 345 5702,,
山禾堂,2018年08月,高雄,店家地址：高雄市鼓山區美術南三路78號,11：00～14：30（假日延長到15：00） / 17：30～21：30,店家電話：07 586 6679,,
株式串社 串燒,2018年/7月,高雄,高雄市前鎮區林森三路193巷2號,17:30-01:00（週一公休）,0965 140 938,,
苷舍,107年/11月,高雄,高雄市三民區九如一路230巷18號1樓,粉絲頁會公布營業時間，通常不一定會開。,,,
踹踹看小火鍋,2018年/9月,高雄,高雄市大社區三民路205號,中午11點30-15點(六日)，晚上17點-22點(一到日),0905-610601,,
"陳記老牌""魚過""魚湯",2018年/11月,高雄,高雄市三民區嫩江街76號,16:00-02:00,16:00-02:00,,
Foster Hewitt's Pub and Grill 加楓餐廳,,高雄,高雄市鼓山區文忠路30號,,(07) 555-0888,,
小陽台早午餐,2018年/9月,高雄,高雄市苓雅區五福一路157號,07:30~16:00。(周二休),0928-477196,,
鮨二七,2018年/9月,高雄,高雄市苓雅區永明街27號,12:00 -14:30   18:00-22:00,,每人平均價位：3000 up,
高雄市左營區文自路980號,2018年/4月,高雄,高雄市左營區文自路980號,週一～週四 11:00~18:00（晚上僅接受6人以上包場服務）,0938-872-728,,
Double Cheese,2018年/07月,高雄,高雄市三民區聯興路70號,11:00-21:30,07-3866016,,
悦客鐵板燒餐廳 85 Sky Tower Hotel 君鴻國際酒店,2018年08月,高雄,店家地址：高雄市苓雅區自強三路1號 85大樓 第38樓,11：30～14：30 / 17：30～21：30,店家電話：07 566 1176,,
城市漢堡,2017年/10月,高雄,高雄市三民區覺民路608號,6：00-14：00,07 385-5530,,
格林私廚,2017年11月,高雄,高雄市左營區重化街22號,11:00-14:30；16:30-21:00,07-3439966,,
高雄圓山大飯店 - 萬壽西餐廳,2018年2月17日,高雄,高雄市鳥松區圓山路2號1樓,早餐 6:30~10:00；午餐 11:30~14:00；晚餐 17:30~21:00,(07) 370-5911,,
六吋盤早午餐(高雄鼎新店),2017年/9月,高雄,高雄市三民區鼎新路191號,6:30~14:30,07 3475068,,
國賓大飯店IRIVER 愛河牛排海鮮自助餐,2017年/10月,高雄, 高雄市民生二路202號,"11:30-14:00,14:30-17:00,18:00-21:00",07 211 5243,,
港福燒臘,2017年/11月,高雄,高雄市苓雅區四維二路113號,"10:30-14:00, 17:00-21:00",07 722 6077,,
台鋁 日式雜炊,2017年/11月,高雄,高雄市前鎮區忠勤路8號,,,,
豐圓小籠湯包,2017年/11月,高雄,高雄市小港區漢民路206號(寶雅前面),5:30-10:40,0903-983628,,
帕狄尼諾 Padrino 義大利廚房,2018年02月,高雄,店家地址：高雄市三民區大裕路252號,11：30～14：30  / 18：00～21：30（週二公休）,店家電話：07 310 7608,,
